form,block,item,code_unit,type,pu_type,codeId,numLines,parseStatus
XSIM2,BLK3_TSI_MST,SIMS_SHPDAT,POST-TEXT-ITEM,TRIGGER,,176,0,true
XSIM2,BLK3_TSI_MST,SIMS_CONPERCOD,POST-TEXT-ITEM,TRIGGER,,180,6,true
XSIM2,BLK3_TSI_MST,BLK3_LOV_CONPERCOD,WHEN-BUTTON-PRESSED,TRIGGER,,182,20,true
XSIM2,BLK3_TSI_MST,SIMS_ETADAT,PRE-TEXT-ITEM,TRIGGER,,206,0,true
XSIM2,BLK3_TSI_MST,SIMS_ETADAT,POST-CHANGE,TRIGGER,,207,0,true
XSIM2,BLK3_TSI_MST,SIMS_ETADAT,POST-TEXT-ITEM,TRIGGER,,208,8,true
XSIM2,BLK3_TSI_MST,SIMS_ETDDAT,POST-TEXT-ITEM,TRIGGER,,212,8,true
XSIM2,BLK3_TSI_MST,SIMS_ETDDAT,POST-CHANGE,TRIGGER,,211,0,true
XSIM2,BLK3_TSI_MST,SIMS_ETDDAT,PRE-TEXT-ITEM,TRIGGER,,210,0,true
XSIM2,BLK3_TSI_MST,BLK3_LOV_VIA,WHEN-BUTTON-PRESSED,TRIGGER,,196,20,true
XSIM2,BLK3_TSI_MST,SIMS_VIA,POST-TEXT-ITEM,TRIGGER,,194,6,true
XSIM2,BLK3_TSI_MST,BLK3_LOV_PORT_D,WHEN-BUTTON-PRESSED,TRIGGER,,201,20,true
XSIM2,BLK3_TSI_MST,SIMS_PORT_D,POST-TEXT-ITEM,TRIGGER,,199,6,true
XSIM2,BLK3_TSI_MST,SIMS_CLSDAT,POST-CHANGE,TRIGGER,,226,0,true
XSIM2,BLK3_TSI_MST,SIMS_CLSDAT,POST-TEXT-ITEM,TRIGGER,,224,0,true
XSIM2,BLK3_TSI_MST,SIMS_CLSDAT,PRE-TEXT-ITEM,TRIGGER,,225,0,true
XSIM2,BLK3_TSI_MST,BLK3_LOV_CURCOD,WHEN-BUTTON-PRESSED,TRIGGER,,222,28,true
XSIM2,BLK3_TSI_MST,SIMS_ADRCOD,POST-TEXT-ITEM,TRIGGER,,229,6,true
XSIM2,BLK3_TSI_MST,SIMS_CURCOD,WHEN-VALIDATE-ITEM,TRIGGER,,220,68,true
XSIM2,BLK3_TSI_MST,SIMS_INVAMT,WHEN-VALIDATE-ITEM,TRIGGER,,216,23,true
XSIM2,BLK3_TSI_MST,SIMS_TOTAMT,KEY-ENTER,TRIGGER,,218,2,true
XSIM2,BLK3_TSI_MST,MPSM_DES,KEY-NEXT-ITEM,TRIGGER,,247,2,true
XSIM2,BLK3_TSI_MST,BLK3_LOV_SIMS_SHPMODCOD,WHEN-BUTTON-PRESSED,TRIGGER,,245,20,true
XSIM2,BLK3_TSI_MST,BLK3_LOV_CARCOD,WHEN-BUTTON-PRESSED,TRIGGER,,240,60,true
XSIM2,BLK3_TSI_MST,SIMS_SHPMODCOD,POST-TEXT-ITEM,TRIGGER,,243,6,true
XSIM2,BLK3_TSI_MST,SIMS_CARCOD,POST-TEXT-ITEM,TRIGGER,,238,6,true
XSIM2,BLK3_TSI_MST,BLK3_LOV_ADRCOD,WHEN-BUTTON-PRESSED,TRIGGER,,231,20,true
XSIM2,BLK3_CONTROL,BLK3_AMT,WHEN-BUTTON-PRESSED,TRIGGER,,322,2,true
XSIM2,BLK3_CONTROL,BLK3_DES,WHEN-BUTTON-PRESSED,TRIGGER,,316,2,true
XSIM2,BLK3_CONTROL,BLK3_QTY,WHEN-BUTTON-PRESSED,TRIGGER,,320,2,true
XSIM2,BLK3_CONTROL,BLK3_BOT,WHEN-BUTTON-PRESSED,TRIGGER,,318,2,true
XSIM2,BLK3_CONTROL,BLK3_GEN,WHEN-BUTTON-PRESSED,TRIGGER,,312,19,true
XSIM2,BLK3_CONTROL,BLK3_EXIT,WHEN-BUTTON-PRESSED,TRIGGER,,310,131,true
XSIM2,BLK3_CONTROL,BLK3_ADDITM,WHEN-BUTTON-PRESSED,TRIGGER,,314,52,true
XSIM2,BLK3_CONTROL,BLK3_DELETE,WHEN-BUTTON-PRESSED,TRIGGER,,306,22,true
XSIM2,BLK3_CONTROL,BLK3_PRINT,WHEN-BUTTON-PRESSED,TRIGGER,,308,64,true
XSIM2,BLK3_CONTROL,BLK3_FIRST_REC,WHEN-BUTTON-PRESSED,TRIGGER,,298,2,true
XSIM2,BLK3_CONTROL,BLK3_SAVE,WHEN-BUTTON-PRESSED,TRIGGER,,296,109,true
XSIM2,BLK3_CONTROL,BLK3_PRV_REC,WHEN-BUTTON-PRESSED,TRIGGER,,300,2,true
XSIM2,BLK3_CONTROL,BLK3_LAST_REC,WHEN-BUTTON-PRESSED,TRIGGER,,304,2,true
XSIM2,BLK3_CONTROL,BLK3_NEXT_REC,WHEN-BUTTON-PRESSED,TRIGGER,,302,2,true
XSIM2,BLK4_TSI_DES_D,BLK4_REMARK,WHEN-BUTTON-PRESSED,TRIGGER,,336,8,true
XSIM2,BLK4_TSI_DES_D,SIDS_DES,KEY-NEXT-ITEM,TRIGGER,,332,2,true
XSIM2,BLK4_TSI_DES_D,SIDS_DES,KEY-ENTER,TRIGGER,,331,2,true
XSIM2,BLK4_TSI_DES_B,BLK4_REMARK,WHEN-BUTTON-PRESSED,TRIGGER,,351,7,true
XSIM2,BLK4_TSI_DES_B,SIDS_DES,KEY-NEXT-ITEM,TRIGGER,,347,2,true
